n02666196	abacus
n04263257	soup bowl
n04264628	space bar
n04265275	space heater
n04266014	space shuttle
n04277352	spindle
n04279353	spinning rod
n02006656	spoonbill
n04285008	sports car, sport car
n04286575	spotlight, spot
n01632458	spotted salamander, Ambystoma maculatum
n04296562	stage
n01917611	staghorn coral, stag's-horn coral
n04311004	steel arch bridge
n04311174	steel drum
n04318892	stiletto
n04328186	stopwatch, stop watch
n04330267	stove
n04332243	strainer
n06794110	street sign
n04335435	streetcar, tram, tramcar, trolley, trolley car
n04336792	stretcher
n04344873	studio couch, day bed
n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n04355933	sunglass
n04356056	sunglasses, dark glasses, shades
n04357314	sunscreen, sunblock, sun blocker
n04366367	suspension bridge
n04370456	sweatshirt
n04371774	swing
n04372370	switch, electric switch, electrical switch
n04373089	switchblade, switchblade knife, flick-knife, flick knife
n04380533	table lamp
n04381724	table-tennis racquet, table-tennis bat, pingpong paddle
n04382438	taboret, tabouret
n04399382	teddy, teddy bear
n01440764	tench, Tinca tinca
n02457408	three-toed sloth, ai, Bradypus tridactylus
n04429376	throne
n04447861	toilet seat
n15075141	toilet tissue, toilet paper, bathroom tissue
n04456115	torch
n01843383	toucan
n04461696	tow truck, tow car, wrecker
n06874185	traffic light, traffic signal, stoplight
n04476259	tray
n04479046	trench coat
n04480853	triangle
n01704323	triceratops
n07613480	trifle
n04485082	tripod
n04493381	tub, vat
n04497801	tuning fork
n01871265	tusker
n04505470	typewriter keyboard
n04525038	velvet
n04532670	viaduct
n01616318	vulture
n04548280	wall clock
n01877812	wallaby, brush kangaroo
n02397096	warthog
n04557648	water bottle
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n04560804	water jug
n01601694	water ouzel, dipper
n04579145	whiskey jug
n02002556	white stork, Ciconia ciconia
n02396427	wild boar, boar, Sus scrofa
n04591713	wine bottle
n04592741	wing
n04593524	wing tip
n04594828	wire cutter
n01883070	wombat
n04597913	wooden spoon
n04599235	wool, woolen, woollen
n04604644	worm fence, snake fence, snake-rail fence, Virginia fence
n04606251	wreck
n04612504	yawl
n12057211	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
n01538200	yellowhammer, yellow bunting, Emberiza citrinella
n02391049	zebra
